Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Region,City,State,Product Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Product Rating
ORD-2023-1000,2023-11-25,2023-11-27,CUST-2665,Customer 6,Home Office,East,Los Angeles,California,Technology,Phones,Desk Lamp,1475.44,4,0.24,110.81,60.3,3.2
ORD-2023-1001,2023-09-25,2023-09-29,CUST-6836,Customer 756,Corporate,Central,Phoenix,Arizona,Furniture,Tables,Desk Lamp,1957.32,2,0.25,255.87,13.86,1.1
ORD-2023-1002,2023-07-11,2023-07-17,CUST-9345,Customer 94,Home Office,East,Los Angeles,California,Technology,Accessories,Standing Desk,1651.18,3,0.1,298.53,72.4,1.4
ORD-2023-1003,2023-07-26,2023-07-31,CUST-1786,Customer 162,Home Office,South,Phoenix,Arizona,Office Supplies,Paper,iPhone 13,292.77,2,0.05,25.87,33.84,3.1
ORD-2023-1004,2023-11-18,2023-11-20,CUST-3081,Customer 285,Corporate,West,Los Angeles,California,Office Supplies,Art,Binder Pack,360.44,4,0.13,38.19,46.22,2.9
ORD-2023-1005,2023-01-23,2023-01-28,CUST-9204,Customer 266,Consumer,Central,New York,New York,Technology,Copiers,Binder Pack,275.73,2,0.08,48.84,83.97,1.5
ORD-2023-1006,2023-05-13,2023-05-17,CUST-2810,Customer 104,Home Office,Central,Chicago,Illinois,Office Supplies,Paper,Binder Pack,1548.35,3,0.16,285.73,83.51,4.8
ORD-2023-1007,2023-12-12,2023-12-17,CUST-3621,Customer 510,Home Office,West,New York,New York,Technology,Accessories,Laser Printer,50.78,2,0.09,4.61,72.39,2.4
ORD-2023-1008,2023-05-17,2023-05-23,CUST-1133,Customer 701,Home Office,South,Phoenix,Arizona,Office Supplies,Art,iPhone 13,1089.8,3,0.03,228.22,84.48,3.3
ORD-2023-1009,2023-07-04,2023-07-10,CUST-5183,Customer 607,Corporate,South,Phoenix,Arizona,Office Supplies,Binders,Standing Desk,564.22,2,0.14,95.84,38.56,4.8
ORD-2023-1010,2023-01-24,2023-01-26,CUST-4110,Customer 899,Home Office,South,Chicago,Illinois,Furniture,Chairs,Binder Pack,1593.25,1,0.1,171.47,40.67,2.7
ORD-2023-1011,2023-08-15,2023-08-16,CUST-2051,Customer 314,Consumer,West,Phoenix,Arizona,Technology,Copiers,Standing Desk,637.46,2,0.15,76.37,81.52,4.5
ORD-2023-1012,2023-05-15,2023-05-16,CUST-2518,Customer 83,Corporate,South,New York,New York,Office Supplies,Paper,iPhone 13,1654.69,1,0.24,75.54,53.25,4.4
ORD-2023-1013,2023-05-31,2023-06-05,CUST-4664,Customer 340,Home Office,West,New York,New York,Office Supplies,Binders,iPhone 13,103.36,2,0.09,22.96,57.85,2.4
ORD-2023-1014,2023-01-02,2023-01-03,CUST-6221,Customer 182,Consumer,West,Chicago,Illinois,Furniture,Tables,Standing Desk,1167.63,2,0.14,115.56,81.98,2.5
ORD-2023-1015,2023-08-09,2023-08-10,CUST-3731,Customer 245,Consumer,West,Houston,Texas,Technology,Accessories,Standing Desk,706.44,3,0.12,85.95,66.98,3.3
ORD-2023-1016,2023-09-15,2023-09-20,CUST-7863,Customer 625,Consumer,South,Los Angeles,California,Technology,Accessories,Laser Printer,992.79,1,0.24,67.26,64.29,1.9
ORD-2023-1017,2023-03-23,2023-03-29,CUST-6916,Customer 831,Consumer,East,Phoenix,Arizona,Technology,Phones,Desk Lamp,1429.06,1,0.27,238.99,40.47,2.8
ORD-2023-1018,2023-03-26,2023-03-30,CUST-1481,Customer 343,Consumer,South,New York,New York,Technology,Phones,Laser Printer,341.3,2,0.14,31.78,50.1,4.7
ORD-2023-1019,2023-10-12,2023-10-16,CUST-3534,Customer 168,Consumer,Central,Chicago,Illinois,Technology,Copiers,Desk Lamp,1615.59,3,0.05,359.5,54.57,4.9
ORD-2023-1020,2023-10-01,2023-10-02,CUST-9357,Customer 410,Consumer,West,Houston,Texas,Office Supplies,Paper,Standing Desk,691.84,1,0.09,43.79,81.52,4.2
ORD-2023-1021,2023-05-21,2023-05-26,CUST-7706,Customer 931,Corporate,Central,New York,New York,Office Supplies,Art,iPhone 13,927.24,3,0.27,150.57,58.89,4.1
ORD-2023-1022,2023-07-22,2023-07-23,CUST-7042,Customer 830,Corporate,Central,New York,New York,Technology,Accessories,iPhone 13,1213.83,2,0.11,160.41,55.68,2.1
ORD-2023-1023,2023-09-23,2023-09-27,CUST-1383,Customer 857,Corporate,South,Chicago,Illinois,Technology,Phones,Desk Lamp,658.07,3,0.18,95.34,75.04,3.8
ORD-2023-1024,2023-02-17,2023-02-20,CUST-1761,Customer 729,Corporate,West,Phoenix,Arizona,Technology,Copiers,iPhone 13,807.33,4,0.25,123.66,27.05,3.5
ORD-2023-1025,2023-06-01,2023-06-06,CUST-1450,Customer 818,Consumer,South,Los Angeles,California,Furniture,Chairs,iPhone 13,1266.36,1,0.21,211.99,42.62,3.6
ORD-2023-1026,2023-06-05,2023-06-07,CUST-5022,Customer 500,Home Office,West,Houston,Texas,Office Supplies,Paper,iPhone 13,1741.99,2,0.25,126.66,73.49,3.4
ORD-2023-1027,2023-10-24,2023-10-30,CUST-7354,Customer 896,Corporate,West,Los Angeles,California,Furniture,Bookcases,iPhone 13,1795.62,4,0.14,359.34,9.51,1.0
ORD-2023-1028,2023-04-23,2023-04-26,CUST-8771,Customer 377,Home Office,Central,Los Angeles,California,Office Supplies,Paper,Office Chair,1577.47,2,0.24,157.87,21.63,3.3
ORD-2023-1029,2023-12-22,2023-12-26,CUST-5533,Customer 988,Home Office,West,Houston,Texas,Furniture,Chairs,iPhone 13,1206.88,1,0.29,137.56,57.76,2.9
ORD-2023-1030,2023-03-15,2023-03-16,CUST-8274,Customer 864,Corporate,East,Los Angeles,California,Office Supplies,Binders,Laser Printer,76.24,4,0.29,5.95,83.73,3.7
ORD-2023-1031,2023-04-28,2023-05-03,CUST-4127,Customer 240,Consumer,East,Chicago,Illinois,Technology,Phones,Binder Pack,513.97,4,0.22,43.12,42.3,1.7
ORD-2023-1032,2023-03-04,2023-03-06,CUST-5700,Customer 200,Corporate,Central,New York,New York,Office Supplies,Art,Laser Printer,1589.73,3,0.21,136.0,83.05,2.6
ORD-2023-1033,2023-10-31,2023-11-01,CUST-2257,Customer 45,Corporate,East,Houston,Texas,Technology,Phones,Desk Lamp,915.18,4,0.11,121.97,39.43,2.8
ORD-2023-1034,2023-07-08,2023-07-10,CUST-9985,Customer 672,Consumer,South,Houston,Texas,Office Supplies,Art,Office Chair,1673.4,4,0.19,188.72,10.19,4.9
ORD-2023-1035,2023-05-10,2023-05-14,CUST-7977,Customer 176,Home Office,West,New York,New York,Technology,Copiers,Standing Desk,977.14,4,0.02,60.97,78.77,3.8
ORD-2023-1036,2023-06-30,2023-07-05,CUST-2593,Customer 489,Home Office,Central,New York,New York,Technology,Phones,Office Chair,1915.22,1,0.18,327.28,26.72,2.3
ORD-2023-1037,2023-10-23,2023-10-29,CUST-4173,Customer 21,Corporate,West,Phoenix,Arizona,Furniture,Tables,Standing Desk,1627.53,1,0.28,159.73,92.37,1.8
ORD-2023-1038,2023-02-08,2023-02-14,CUST-5281,Customer 924,Home Office,South,New York,New York,Technology,Copiers,Standing Desk,897.86,3,0.29,50.57,87.15,2.3
ORD-2023-1039,2023-03-02,2023-03-05,CUST-9040,Customer 147,Consumer,West,Houston,Texas,Furniture,Tables,iPhone 13,1031.24,1,0.2,61.61,34.91,4.0
ORD-2023-1040,2023-09-13,2023-09-14,CUST-2084,Customer 207,Consumer,West,Houston,Texas,Technology,Phones,Office Chair,1852.76,1,0.2,95.71,62.67,1.0
ORD-2023-1041,2023-05-18,2023-05-20,CUST-8052,Customer 603,Corporate,East,Los Angeles,California,Technology,Phones,Binder Pack,57.42,4,0.17,10.31,48.85,4.2
ORD-2023-1042,2023-08-26,2023-08-27,CUST-2069,Customer 373,Corporate,East,New York,New York,Technology,Copiers,Standing Desk,862.81,4,0.19,118.73,22.38,2.2
ORD-2023-1043,2023-08-25,2023-08-30,CUST-6000,Customer 793,Corporate,South,New York,New York,Technology,Copiers,Laser Printer,1803.06,2,0.26,165.83,57.36,2.6
ORD-2023-1044,2023-04-06,2023-04-11,CUST-2059,Customer 952,Consumer,Central,Los Angeles,California,Furniture,Chairs,Office Chair,1790.98,4,0.12,390.81,82.13,4.4
ORD-2023-1045,2023-04-29,2023-05-03,CUST-3492,Customer 94,Consumer,Central,Chicago,Illinois,Furniture,Tables,Binder Pack,1473.66,3,0.22,246.17,87.95,1.1
ORD-2023-1046,2023-05-24,2023-05-29,CUST-5113,Customer 825,Home Office,East,Houston,Texas,Furniture,Chairs,Standing Desk,1087.57,3,0.26,134.15,93.64,3.6
ORD-2023-1047,2023-04-20,2023-04-22,CUST-7060,Customer 507,Home Office,West,New York,New York,Office Supplies,Paper,Office Chair,722.74,3,0.21,57.81,38.11,2.9
ORD-2023-1048,2023-09-06,2023-09-07,CUST-9676,Customer 361,Consumer,East,Houston,Texas,Furniture,Chairs,iPhone 13,1559.32,2,0.04,172.66,42.79,2.9
ORD-2023-1049,2023-09-30,2023-10-02,CUST-6237,Customer 841,Consumer,East,New York,New York,Technology,Phones,Desk Lamp,986.32,4,0.13,91.45,82.82,4.5
ORD-2023-1050,2023-05-11,2023-05-17,CUST-4483,Customer 480,Corporate,South,Phoenix,Arizona,Furniture,Tables,Binder Pack,1439.96,2,0.21,70.02,47.14,4.6
ORD-2023-1051,2023-02-01,2023-02-05,CUST-6101,Customer 97,Consumer,East,Houston,Texas,Office Supplies,Art,Office Chair,1125.13,1,0.23,83.24,96.49,1.8
ORD-2023-1052,2023-01-26,2023-01-28,CUST-7215,Customer 947,Corporate,West,New York,New York,Technology,Copiers,Standing Desk,897.5,1,0.05,80.82,64.65,3.3
ORD-2023-1053,2023-04-26,2023-04-28,CUST-4619,Customer 223,Consumer,South,Los Angeles,California,Office Supplies,Binders,iPhone 13,524.31,1,0.04,45.15,11.68,1.5
ORD-2023-1054,2023-09-28,2023-10-03,CUST-7612,Customer 135,Corporate,Central,New York,New York,Technology,Phones,Laser Printer,1235.96,1,0.02,220.02,80.5,3.4
ORD-2023-1055,2023-02-04,2023-02-07,CUST-8534,Customer 656,Home Office,East,Los Angeles,California,Furniture,Bookcases,Laser Printer,892.35,2,0.17,179.83,79.48,4.5
ORD-2023-1056,2023-11-09,2023-11-13,CUST-2146,Customer 568,Home Office,West,New York,New York,Technology,Copiers,Standing Desk,1195.47,2,0.3,124.77,15.5,3.0
ORD-2023-1057,2023-08-20,2023-08-26,CUST-1233,Customer 188,Corporate,East,Phoenix,Arizona,Office Supplies,Paper,Binder Pack,311.87,2,0.17,28.07,21.45,4.4
ORD-2023-1058,2023-05-11,2023-05-15,CUST-7255,Customer 879,Consumer,Central,New York,New York,Technology,Copiers,Office Chair,1167.35,1,0.11,252.74,80.31,4.0
ORD-2023-1059,2023-01-30,2023-02-05,CUST-2465,Customer 439,Home Office,West,New York,New York,Technology,Copiers,Desk Lamp,1078.77,2,0.09,174.16,83.73,1.5
ORD-2023-1060,2023-05-06,2023-05-11,CUST-4469,Customer 922,Corporate,East,New York,New York,Office Supplies,Binders,Binder Pack,1814.27,2,0.15,366.8,48.86,4.7
ORD-2023-1061,2023-11-29,2023-12-01,CUST-2902,Customer 740,Corporate,East,Houston,Texas,Office Supplies,Art,Binder Pack,1381.46,1,0.02,300.3,51.73,3.1
ORD-2023-1062,2023-05-02,2023-05-04,CUST-3151,Customer 666,Corporate,East,Phoenix,Arizona,Technology,Phones,Binder Pack,1723.22,1,0.19,131.18,20.87,1.7
ORD-2023-1063,2023-08-27,2023-08-29,CUST-5656,Customer 872,Consumer,West,New York,New York,Office Supplies,Art,Desk Lamp,378.33,1,0.18,20.61,77.75,3.5
ORD-2023-1064,2023-10-18,2023-10-21,CUST-5931,Customer 35,Corporate,East,Chicago,Illinois,Office Supplies,Binders,Laser Printer,857.93,1,0.17,69.92,97.49,2.6
ORD-2023-1065,2023-01-22,2023-01-23,CUST-4244,Customer 694,Corporate,East,Los Angeles,California,Office Supplies,Art,Binder Pack,317.75,1,0.04,30.88,91.33,3.1
